Subfam Name	Subfam Composition	Subfam EC	Substrate	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lft	476	4.882780280438431e-235	1	460	10	474	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lft_1	474	1.9386833186605865e-233	2	460	5	469	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lga	484	5.042153570514528e-223	1	460	19	482	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lga_1	475	1.0706152966555455e-228	1	460	5	468	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lhf	467	2.2813802968952668e-246	1	461	4	465	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lhi	474	4.6253488954608734e-228	2	460	5	469	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lhn	474	3.901595476885114e-232	2	460	11	471	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lje	469	4.711882256989313e-224	1	459	6	465	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	ljf	475	1.9108052816889794e-227	1	460	5	468	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	llc	468	9.906222216929696e-247	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lld	468	3.3580053748376973e-245	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lli	468	1.4933927387278898e-246	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	llr	468	3.2112603842153065e-246	2	460	5	464	0.9956616052060736	dbCAN-sub
